dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
15/11/2020,205,12,Afghanistan,AF,AFG,38041757.0,Asia,4.57129254
14/11/2020,66,10,Afghanistan,AF,AFG,38041757.0,Asia,4.23219148
13/11/2020,360,14,Afghanistan,AF,AFG,38041757.0,Asia,4.47140231
12/11/2020,146,4,Afghanistan,AF,AFG,38041757.0,Asia,3.84840269
11/11/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.4646139
10/11/2020,224,12,Afghanistan,AF,AFG,38041757.0,Asia,3.76165591
09/11/2020,80,3,Afghanistan,AF,AFG,38041757.0,Asia,3.69593865
08/11/2020,126,6,Afghanistan,AF,AFG,38041757.0,Asia,3.65650829
07/11/2020,58,2,Afghanistan,AF,AFG,38041757.0,Asia,3.53821723
06/11/2020,40,0,Afghanistan,AF,AFG,38041757.0,Asia,3.5461032999999995
05/11/2020,121,6,Afghanistan,AF,AFG,38041757.0,Asia,3.74588377
04/11/2020,86,4,Afghanistan,AF,AFG,38041757.0,Asia,3.78268543
03/11/2020,95,3,Afghanistan,AF,AFG,38041757.0,Asia,3.78794281
02/11/2020,132,5,Afghanistan,AF,AFG,38041757.0,Asia,3.76691329
01/11/2020,76,0,Afghanistan,AF,AFG,38041757.0,Asia,3.57501889
31/10/2020,157,4,Afghanistan,AF,AFG,38041757.0,Asia,3.55398937
30/10/2020,123,3,Afghanistan,AF,AFG,38041757.0,Asia,3.26483343
29/10/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.94150452
28/10/2020,113,7,Afghanistan,AF,AFG,38041757.0,Asia,3.02562261
27/10/2020,199,8,Afghanistan,AF,AFG,38041757.0,Asia,2.90207416
26/10/2020,65,3,Afghanistan,AF,AFG,38041757.0,Asia,2.71806583
25/10/2020,81,4,Afghanistan,AF,AFG,38041757.0,Asia,2.79955524
24/10/2020,61,2,Afghanistan,AF,AFG,38041757.0,Asia,2.58663132
23/10/2020,116,4,Afghanistan,AF,AFG,38041757.0,Asia,2.45256811
22/10/2020,135,2,Afghanistan,AF,AFG,38041757.0,Asia,2.35004918
21/10/2020,88,2,Afghanistan,AF,AFG,38041757.0,Asia,2.17392693
20/10/2020,87,5,Afghanistan,AF,AFG,38041757.0,Asia,2.10558098
19/10/2020,59,4,Afghanistan,AF,AFG,38041757.0,Asia,2.25804502
18/10/2020,68,3,Afghanistan,AF,AFG,38041757.0,Asia,2.21861467
17/10/2020,47,4,Afghanistan,AF,AFG,38041757.0,Asia,2.05826455
16/10/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.94785956
15/10/2020,32,1,Afghanistan,AF,AFG,38041757.0,Asia,1.99254729
14/10/2020,66,0,Afghanistan,AF,AFG,38041757.0,Asia,1.94523087
13/10/2020,129,3,Afghanistan,AF,AFG,38041757.0,Asia,1.81116766
12/10/2020,96,4,Afghanistan,AF,AFG,38041757.0,Asia,1.50361089
11/10/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.25125661
10/10/2020,10,1,Afghanistan,AF,AFG,38041757.0,Asia,1.34326078
09/10/2020,77,2,Afghanistan,AF,AFG,38041757.0,Asia,1.33274601
08/10/2020,68,1,Afghanistan,AF,AFG,38041757.0,Asia,1.1723959
07/10/2020,62,2,Afghanistan,AF,AFG,38041757.0,Asia,1.05936222
06/10/2020,145,5,Afghanistan,AF,AFG,38041757.0,Asia,1.08302043
05/10/2020,44,0,Afghanistan,AF,AFG,38041757.0,Asia,0.78072104
04/10/2020,7,4,Afghanistan,AF,AFG,38041757.0,Asia,0.66505866
03/10/2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia,0.97524412
02/10/2020,17,0,Afghanistan,AF,AFG,38041757.0,Asia,1.08564912
01/10/2020,14,0,Afghanistan,AF,AFG,38041757.0,Asia,1.04096138
30/09/2020,15,2,Afghanistan,AF,AFG,38041757.0,Asia,1.04884745
29/09/2020,12,3,Afghanistan,AF,AFG,38041757.0,Asia,1.11456471
28/09/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.34326078
27/09/2020,35,0,Afghanistan,AF,AFG,38041757.0,Asia,1.54041255
26/09/2020,6,2,Afghanistan,AF,AFG,38041757.0,Asia,1.54041255
25/09/2020,16,0,Afghanistan,AF,AFG,38041757.0,Asia,1.61401588
24/09/2020,25,5,Afghanistan,AF,AFG,38041757.0,Asia,1.64556017
23/09/2020,71,2,Afghanistan,AF,AFG,38041757.0,Asia,1.64293148
22/09/2020,30,3,Afghanistan,AF,AFG,38041757.0,Asia,1.52464041
21/09/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.69813397
20/09/2020,125,4,Afghanistan,AF,AFG,38041757.0,Asia,1.89265706
19/09/2020,47,1,Afghanistan,AF,AFG,38041757.0,Asia,1.61664457
18/09/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.53515517
17/09/2020,17,0,Afghanistan,AF,AFG,38041757.0,Asia,1.65344624
16/09/2020,40,10,Afghanistan,AF,AFG,38041757.0,Asia,1.70864874
15/09/2020,99,6,Afghanistan,AF,AFG,38041757.0,Asia,1.62715933
14/09/2020,75,0,Afghanistan,AF,AFG,38041757.0,Asia,1.45629446
13/09/2020,35,0,Afghanistan,AF,AFG,38041757.0,Asia,1.3090878
12/09/2020,34,0,Afghanistan,AF,AFG,38041757.0,Asia,1.22496971
11/09/2020,28,0,Afghanistan,AF,AFG,38041757.0,Asia,1.16450983
10/09/2020,24,2,Afghanistan,AF,AFG,38041757.0,Asia,1.09879257
09/09/2020,26,3,Afghanistan,AF,AFG,38041757.0,Asia,1.18028197
08/09/2020,96,3,Afghanistan,AF,AFG,38041757.0,Asia,1.11456471
07/09/2020,74,2,Afghanistan,AF,AFG,38041757.0,Asia,1.04884745
06/09/2020,20,0,Afghanistan,AF,AFG,38041757.0,Asia,0.85432437
05/09/2020,16,0,Afghanistan,AF,AFG,38041757.0,Asia,1.07776305
04/09/2020,45,1,Afghanistan,AF,AFG,38041757.0,Asia,1.13559424
03/09/2020,38,3,Afghanistan,AF,AFG,38041757.0,Asia,1.27228614
02/09/2020,9,0,Afghanistan,AF,AFG,38041757.0,Asia,1.59298636
01/09/2020,34,4,Afghanistan,AF,AFG,38041757.0,Asia,1.56932815
31/08/2020,19,0,Afghanistan,AF,AFG,38041757.0,Asia,1.48783875
30/08/2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,1.55618469
29/08/2020,11,1,Afghanistan,AF,AFG,38041757.0,Asia,1.86374147
28/08/2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,1.85322671
27/08/2020,55,4,Afghanistan,AF,AFG,38041757.0,Asia,2.05300717
26/08/2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,2.10820967
25/08/2020,71,10,Afghanistan,AF,AFG,38041757.0,Asia,2.67074941
24/08/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239
23/08/2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239
22/08/2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia,2.31061883
21/08/2020,97,2,Afghanistan,AF,AFG,38041757.0,Asia,2.41576644
20/08/2020,160,8,Afghanistan,AF,AFG,38041757.0,Asia,2.26855978
19/08/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.02409158
18/08/2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,2.23964419
17/08/2020,45,5,Afghanistan,AF,AFG,38041757.0,Asia,2.32901966
16/08/2020,120,7,Afghanistan,AF,AFG,38041757.0,Asia,2.21072859
15/08/2020,7,0,Afghanistan,AF,AFG,38041757.0,Asia,1.89528575
14/08/2020,79,9,Afghanistan,AF,AFG,38041757.0,Asia,2.3185049
13/08/2020,76,10,Afghanistan,AF,AFG,38041757.0,Asia,2.29747538
12/08/2020,215,32,Afghanistan,AF,AFG,38041757.0,Asia,2.09769491
11/08/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.80328159
10/08/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.07929408
09/08/2020,39,5,Afghanistan,AF,AFG,38041757.0,Asia,2.35793526
08/08/2020,78,9,Afghanistan,AF,AFG,38041757.0,Asia,2.57348786
07/08/2020,41,0,Afghanistan,AF,AFG,38041757.0,Asia,2.65234858
06/08/2020,67,4,Afghanistan,AF,AFG,38041757.0,Asia,2.57874525
05/08/2020,82,6,Afghanistan,AF,AFG,38041757.0,Asia,2.89681678
04/08/2020,37,4,Afghanistan,AF,AFG,38041757.0,Asia,2.97567749
03/08/2020,0,1,Afghanistan,AF,AFG,38041757.0,Asia,3.2464326
02/08/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.70382472
01/08/2020,168,12,Afghanistan,AF,AFG,38041757.0,Asia,3.73536901
31/07/2020,71,0,Afghanistan,AF,AFG,38041757.0,Asia,3.86943221
30/07/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.88257567
29/07/2020,103,1,Afghanistan,AF,AFG,38041757.0,Asia,4.55026302
28/07/2020,105,1,Afghanistan,AF,AFG,38041757.0,Asia,5.02868466
27/07/2020,106,10,Afghanistan,AF,AFG,38041757.0,Asia,4.76318694
26/07/2020,121,13,Afghanistan,AF,AFG,38041757.0,Asia,4.48454576
25/07/2020,108,35,Afghanistan,AF,AFG,38041757.0,Asia,4.38991291
24/07/2020,13,0,Afghanistan,AF,AFG,38041757.0,Asia,5.30995453
23/07/2020,188,21,Afghanistan,AF,AFG,38041757.0,Asia,5.9460976
22/07/2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia,5.60699654
21/07/2020,140,5,Afghanistan,AF,AFG,38041757.0,Asia,5.8646082
20/07/2020,174,17,Afghanistan,AF,AFG,38041757.0,Asia,6.63481448
19/07/2020,12,17,Afghanistan,AF,AFG,38041757.0,Asia,6.91082696
18/07/2020,219,32,Afghanistan,AF,AFG,38041757.0,Asia,7.79406692
17/07/2020,76,21,Afghanistan,AF,AFG,38041757.0,Asia,8.01224823
16/07/2020,254,49,Afghanistan,AF,AFG,38041757.0,Asia,8.30140416
15/07/2020,285,33,Afghanistan,AF,AFG,38041757.0,Asia,8.47226904
14/07/2020,4,2,Afghanistan,AF,AFG,38041757.0,Asia,8.4564969
13/07/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,9.15835722
12/07/2020,85,16,Afghanistan,AF,AFG,38041757.0,Asia,10.08102754
11/07/2020,458,37,Afghanistan,AF,AFG,38041757.0,Asia,10.29132277
10/07/2020,255,20,Afghanistan,AF,AFG,38041757.0,Asia,9.81290112
09/07/2020,59,1,Afghanistan,AF,AFG,38041757.0,Asia,10.35178265
08/07/2020,210,16,Afghanistan,AF,AFG,38041757.0,Asia,10.81180346
07/07/2020,433,56,Afghanistan,AF,AFG,38041757.0,Asia,11.14827583
06/07/2020,279,38,Afghanistan,AF,AFG,38041757.0,Asia,10.82494691
05/07/2020,348,7,Afghanistan,AF,AFG,38041757.0,Asia,11.16667666
04/07/2020,302,12,Afghanistan,AF,AFG,38041757.0,Asia,11.68715735
03/07/2020,186,33,Afghanistan,AF,AFG,38041757.0,Asia,11.80281973
02/07/2020,319,28,Afghanistan,AF,AFG,38041757.0,Asia,13.04356158
01/07/2020,279,13,Afghanistan,AF,AFG,38041757.0,Asia,13.68759072
30/06/2020,271,12,Afghanistan,AF,AFG,38041757.0,Asia,15.01245066
29/06/2020,351,18,Afghanistan,AF,AFG,38041757.0,Asia,16.30050894
28/06/2020,165,20,Afghanistan,AF,AFG,38041757.0,Asia,17.12328902
27/06/2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia,18.15110695
26/06/2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia,19.15000929
25/06/2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia,19.90444343
24/06/2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia,21.08735409
23/06/2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia,21.62360692
22/06/2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia,22.32020987
21/06/2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia,23.32436959
20/06/2020,346,2,Afghanistan,AF,AFG,38041757.0,Asia,23.41900244
19/06/2020,658,42,Afghanistan,AF,AFG,38041757.0,Asia,24.91472726
18/06/2020,564,13,Afghanistan,AF,AFG,38041757.0,Asia,25.25382831
17/06/2020,783,13,Afghanistan,AF,AFG,38041757.0,Asia,25.76379424
16/06/2020,761,7,Afghanistan,AF,AFG,38041757.0,Asia,25.70070567
15/06/2020,664,20,Afghanistan,AF,AFG,38041757.0,Asia,25.13290856
14/06/2020,556,5,Afghanistan,AF,AFG,38041757.0,Asia,25.1749676
13/06/2020,656,20,Afghanistan,AF,AFG,38041757.0,Asia,25.98986161
12/06/2020,747,21,Afghanistan,AF,AFG,38041757.0,Asia,25.90311483
11/06/2020,684,21,Afghanistan,AF,AFG,38041757.0,Asia,25.46412354
10/06/2020,542,15,Afghanistan,AF,AFG,38041757.0,Asia,25.30903081
09/06/2020,575,12,Afghanistan,AF,AFG,38041757.0,Asia,25.61395889
08/06/2020,791,30,Afghanistan,AF,AFG,38041757.0,Asia,25.65601794
07/06/2020,582,18,Afghanistan,AF,AFG,38041757.0,Asia,25.11187903
06/06/2020,915,9,Afghanistan,AF,AFG,38041757.0,Asia,25.63761711
05/06/2020,787,6,Afghanistan,AF,AFG,38041757.0,Asia,24.65185822
04/06/2020,758,24,Afghanistan,AF,AFG,38041757.0,Asia,23.97891349
03/06/2020,759,5,Afghanistan,AF,AFG,38041757.0,Asia,23.27968185
02/06/2020,545,8,Afghanistan,AF,AFG,38041757.0,Asia,22.81177497
01/06/2020,680,8,Afghanistan,AF,AFG,38041757.0,Asia,22.45164439
31/05/2020,866,3,Afghanistan,AF,AFG,38041757.0,Asia,21.35285181
30/05/2020,623,11,Afghanistan,AF,AFG,38041757.0,Asia,19.07640596
29/05/2020,580,8,Afghanistan,AF,AFG,38041757.0,Asia,20.23302972
28/05/2020,625,7,Afghanistan,AF,AFG,38041757.0,Asia,19.00543132
27/05/2020,658,1,Afghanistan,AF,AFG,38041757.0,Asia,18.04333065
26/05/2020,591,1,Afghanistan,AF,AFG,38041757.0,Asia,17.04968569
25/05/2020,584,2,Afghanistan,AF,AFG,38041757.0,Asia,16.24530644
24/05/2020,782,11,Afghanistan,AF,AFG,38041757.0,Asia,15.68013801
23/05/2020,540,12,Afghanistan,AF,AFG,38041757.0,Asia,14.29481819
22/05/2020,531,6,Afghanistan,AF,AFG,38041757.0,Asia,13.44049382
21/05/2020,492,9,Afghanistan,AF,AFG,38041757.0,Asia,12.49416529
20/05/2020,581,5,Afghanistan,AF,AFG,38041757.0,Asia,11.64246962
19/05/2020,408,4,Afghanistan,AF,AFG,38041757.0,Asia,10.98266833
18/05/2020,262,1,Afghanistan,AF,AFG,38041757.0,Asia,10.40961384
17/05/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,10.3386392
16/05/2020,1063,32,Afghanistan,AF,AFG,38041757.0,Asia,10.6908837
15/05/2020,113,6,Afghanistan,AF,AFG,38041757.0,Asia,8.32769107
14/05/2020,259,3,Afghanistan,AF,AFG,38041757.0,Asia,8.61421832
13/05/2020,280,5,Afghanistan,AF,AFG,38041757.0,Asia,8.25408774
12/05/2020,285,2,Afghanistan,AF,AFG,38041757.0,Asia,7.84401204
11/05/2020,369,5,Afghanistan,AF,AFG,38041757.0,Asia,7.54697003
10/05/2020,255,6,Afghanistan,AF,AFG,38041757.0,Asia,6.75573423
09/05/2020,215,3,Afghanistan,AF,AFG,38041757.0,Asia,6.37983151
08/05/2020,171,2,Afghanistan,AF,AFG,38041757.0,Asia,5.99867141
07/05/2020,168,9,Afghanistan,AF,AFG,38041757.0,Asia,5.82517784
06/05/2020,330,5,Afghanistan,AF,AFG,38041757.0,Asia,5.60436785
05/05/2020,190,5,Afghanistan,AF,AFG,38041757.0,Asia,4.89725015
04/05/2020,235,13,Afghanistan,AF,AFG,38041757.0,Asia,4.48980314
03/05/2020,134,4,Afghanistan,AF,AFG,38041757.0,Asia,4.10338566
02/05/2020,164,4,Afghanistan,AF,AFG,38041757.0,Asia,3.91674864
01/05/2020,222,4,Afghanistan,AF,AFG,38041757.0,Asia,3.61970663
30/04/2020,122,0,Afghanistan,AF,AFG,38041757.0,Asia,3.06242427
29/04/2020,124,3,Afghanistan,AF,AFG,38041757.0,Asia,2.92573237
28/04/2020,172,0,Afghanistan,AF,AFG,38041757.0,Asia,2.7285806
27/04/2020,68,10,Afghanistan,AF,AFG,38041757.0,Asia,2.42890989
26/04/2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia,2.38685085
25/04/2020,70,1,Afghanistan,AF,AFG,38041757.0,Asia,2.181813
24/04/2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia,2.09506622
23/04/2020,84,4,Afghanistan,AF,AFG,38041757.0,Asia,1.97940384
22/04/2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia,1.90580051
21/04/2020,35,2,Afghanistan,AF,AFG,38041757.0,Asia,1.82431111
20/04/2020,88,3,Afghanistan,AF,AFG,38041757.0,Asia,1.83219718
19/04/2020,63,0,Afghanistan,AF,AFG,38041757.0,Asia,1.67710445
18/04/2020,51,1,Afghanistan,AF,AFG,38041757.0,Asia,1.60350112
17/04/2020,10,4,Afghanistan,AF,AFG,38041757.0,Asia,1.46943791
16/04/2020,70,2,Afghanistan,AF,AFG,38041757.0,Asia,1.55618469
15/04/2020,49,2,Afghanistan,AF,AFG,38041757.0,Asia,1.44052232
14/04/2020,58,3,Afghanistan,AF,AFG,38041757.0,Asia,1.37743375
13/04/2020,52,0,Afghanistan,AF,AFG,38041757.0,Asia,1.29594435
12/04/2020,34,3,Afghanistan,AF,AFG,38041757.0,Asia,1.18028197
11/04/2020,37,0,Afghanistan,AF,AFG,38041757.0,Asia,1.13033686
10/04/2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia,1.07513436
09/04/2020,56,3,Afghanistan,AF,AFG,38041757.0,Asia,0.91478425
08/04/2020,30,4,Afghanistan,AF,AFG,38041757.0,Asia,0.85432437
07/04/2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia,0.78072104
06/04/2020,29,2,Afghanistan,AF,AFG,38041757.0,Asia,0.69660295
05/04/2020,35,1,Afghanistan,AF,AFG,38041757.0,Asia,0.64665783
04/04/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.55465367
03/04/2020,43,0,Afghanistan,AF,AFG,38041757.0,Asia,0.55991105
02/04/2020,26,0,Afghanistan,AF,AFG,38041757.0,Asia,0.44687736
01/04/2020,25,0,Afghanistan,AF,AFG,38041757.0,Asia,0.37853141
31/03/2020,27,0,Afghanistan,AF,AFG,38041757.0,Asia,0.31544284
30/03/2020,8,1,Afghanistan,AF,AFG,38041757.0,Asia,0.25761166
29/03/2020,15,1,Afghanistan,AF,AFG,38041757.0,Asia,0.25235427
28/03/2020,16,1,Afghanistan,AF,AFG,38041757.0,Asia,0.22080999
27/03/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.18663702
26/03/2020,33,0,Afghanistan,AF,AFG,38041757.0,Asia,0.19452309
25/03/2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia,0.1077763
24/03/2020,6,1,Afghanistan,AF,AFG,38041757.0,Asia,0.10251892
23/03/2020,10,0,Afghanistan,AF,AFG,38041757.0,Asia,0.08674678
22/03/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.06045988
21/03/2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia,0.06045988
20/03/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0552025
19/03/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.05783119
18/03/2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,0.05783119
17/03/2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0552025
16/03/2020,6,0,Afghanistan,AF,AFG,38041757.0,Asia,0.04205905
15/03/2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0262869
11/03/2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.01840083
08/03/2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.01051476
02/03/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
01/03/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
29/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
28/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
27/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
26/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
25/02/2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
24/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
23/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
22/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
21/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
20/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
19/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
18/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
17/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
16/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
15/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
14/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
13/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
12/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
11/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
10/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
09/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
08/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
07/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
06/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
05/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
04/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
03/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
02/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
01/02/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
31/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
30/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
29/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
28/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
27/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
26/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
25/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
24/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
23/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
22/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
21/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
20/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
19/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
18/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
17/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
16/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
15/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
14/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
13/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
12/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
11/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
10/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
09/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
08/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
07/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
06/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
05/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
04/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
03/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
02/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
01/01/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
31/12/2019,0,0,Afghanistan,AF,AFG,38041757.0,Asia,
14/12/2020,178,0,Bahrain,BH,BHR,1641164.0,Asia,143.55664638
